test_image,train_image,rms_distance,test_source,train_source
calculus-1160-_jpg.rf.e4bf320a31bb09ba6e1dac644f42ad40.jpg,calculus-8-_jpg.rf.54d4c5d1105eeead2c34fdd8fb9f4191.jpg,0.4330,calculus-1160-_jpg,calculus-8-_jpg
gingivitis-206-_jpg.rf.4ea2ff6476be053f03b57f76df6b9d65.jpg,gingivitis-2294-_jpg.rf.6c8e47025d0df56e324f520f31865405.jpg,0.4463,gingivitis-206-_jpg,gingivitis-2294-_jpg
gingivitis-2205-_jpg.rf.3587c5298aee346973102d99f2e20602.jpg,gingivitis-117-_jpg.rf.7fc17b1afcd23bd46b609791588198d9.jpg,0.4921,gingivitis-2205-_jpg,gingivitis-117-_jpg
gingivitis-2192-_jpg.rf.9c20a72b10400123b431c8622207fc89.jpg,gingivitis-10-_jpg.rf.dd3a4ccef95f7269c3c3fd58e1049ec8.jpg,0.5039,gingivitis-2192-_jpg,gingivitis-10-_jpg
gingivitis-2281-_jpg.rf.17881ef46fb187c9bf489b968b0e3362.jpg,gingivitis-193-_jpg.rf.c0a6b129b742383a3caa7f3f131ab08c.jpg,0.5358,gingivitis-2281-_jpg,gingivitis-193-_jpg
calculus-1178-_jpg.rf.0f826f10eebd123b0406feb78725aad6.jpg,calculus-26-_jpg.rf.aaf881c348f362b2d5a2e7cd7bb8cd44.jpg,0.5376,calculus-1178-_jpg,calculus-26-_jpg
gingi-367-copy_jpg.rf.aeb0357aca525d75069f09392a887320.jpg,gingi-525-copy_jpg.rf.2c29bd68e756dcb037be494f068b1703.jpg,0.5449,gingi-367-copy_jpg,gingi-525-copy_jpg
calculus-1265-_jpg.rf.9e64b9006b7db7b221ad4c24ba91db0a.jpg,calculus-113-_jpg.rf.e9dd100d9a853acc3405d9424a9ce292.jpg,0.5728,calculus-1265-_jpg,calculus-113-_jpg
hypodontia-1193-_jpg.rf.957de2342c0bb39864f782b9349df8d4.jpg,hypodontia-81-_jpg.rf.e420370f7928b84d414193495cf1cec3.jpg,0.5728,hypodontia-1193-_jpg,hypodontia-81-_jpg
gingivitis-2216-_jpg.rf.d8bf0f8cb910da0231ef62e149c7823a.jpg,gingivitis-128-_jpg.rf.e6e8924510837b868ee1d6190baab5a9.jpg,0.5762,gingivitis-2216-_jpg,gingivitis-128-_jpg
gingivitis-2296-_jpg.rf.b8606655520057c5754a3b16524718cd.jpg,gingivitis-208-_jpg.rf.c506855a11c89f101b9af2d328b67d31.jpg,0.5796,gingivitis-2296-_jpg,gingivitis-208-_jpg
calculus-27-_jpg.rf.b7af3cac05abdd2c02ff5b2f1f321371.jpg,gingivitis-2107-_jpg.rf.d1aa837fb4e971a693bc0e6ea0a2a5b9.jpg,0.6060,calculus-27-_jpg,gingivitis-2107-_jpg
gingivitis-28-_jpg.rf.ed90cab481c93dcb9bd95cdbea35d17b.jpg,gingivitis-2120-_jpg.rf.0677a69d2929264ee675530a9136f545.jpg,0.6060,gingivitis-28-_jpg,gingivitis-2120-_jpg
gingi-179-copy_jpg.rf.511e1a3f2bb20311e42357f63d66172a.jpg,gingi-359-copy_jpg.rf.0be4d997bf913adac638a881d5476535.jpg,0.6076,gingi-179-copy_jpg,gingi-359-copy_jpg
gingivitis-205-_jpg.rf.9615fc0a2e1a72bcb418bbb9b99d26ad.jpg,gingivitis-2293-_jpg.rf.3b22c248c2f0ed9c2cda67f0c054ae32.jpg,0.6124,gingivitis-205-_jpg,gingivitis-2293-_jpg
gingivitis-2126-_jpg.rf.6efcf88cd751c5d3f76031980c5dedad.jpg,gingivitis-34-_jpg.rf.563bce0b8e31eb2a77d94f9037b2a893.jpg,0.6219,gingivitis-2126-_jpg,gingivitis-34-_jpg
calculus-1158-_jpg.rf.a7acdbb81b7c7221067ca43af0eacc1c.jpg,calculus-76-_jpg.rf.4714e373dfa58b823587c03a853106d9.jpg,0.6250,calculus-1158-_jpg,calculus-76-_jpg
