test_image,best_train_match,ransac_inliers,verdict,above_threshold_25,score_provenance
calculus-743-_jpg.rf.44c73e112e130a3cb5b090c79f5d759b.jpg,calculus-599-_jpg.rf.e910281a2a47fc61c130ed0ba4418112.jpg,1285,duplicate,yes,original_run
calculus-706-_jpg.rf.2b7ac30f0dfdc1d8cd0b9c64cfafc4ca.jpg,calculus-772-_jpg.rf.ee189a0335416e392159119f3ed61d9f.jpg,1100,duplicate,yes,original_run
calculus-681-_jpg.rf.73a12c16778fd4fa138a5aea1521e5a0.jpg,calculus-796-_jpg.rf.451361a8e421b6a51bb2df57be5f1ade.jpg,1064,duplicate,yes,original_run
calculus-704-_jpg.rf.a7b1e7e9f8bdb1163613625f3db6ec95.jpg,calculus-848-_jpg.rf.1bdbc0cc22c49322fdc776ca3ee2ebdc.jpg,1008,duplicate,yes,original_run
gingivitis-2295-_jpg.rf.8d6d0d04e02696811d1249f694779b4c.jpg,gingivitis-207-_jpg.rf.059c11d79c9d484e95cb81cb1f477f77.jpg,1008,duplicate,yes,original_run
calculus-793-_jpg.rf.e6877b99793a32e03741132f86d1790b.jpg,calculus-649-_jpg.rf.53e66a84f3f5dd5b36bb138783da740b.jpg,985,duplicate,yes,original_run
gingilagi-84-_jpg.rf.4f8a40780e7f4b62909630d73b08edf6.jpg,gingilagi-52-_jpg.rf.ddd5e0383a878ee2bdff5b9fd6fd5a98.jpg,982,duplicate,yes,original_run
gingivitis-1197-_jpg.rf.0debfef9d87128ff49b59849d326d43c.jpg,gingivitis-1457-_jpg.rf.6fde1f361eab89ecf7dcb56e7dbc2e31.jpg,887,duplicate,yes,original_run
gingilagi-98-_jpg.rf.227c7eb5ca64d77a8cc1f93fd88b96a2.jpg,gingilagi-38-_jpg.rf.3850f26b3895ddd9e80df57aef554e8e.jpg,844,duplicate,yes,original_run
calculus-750-_jpg.rf.7566372bac5b5c1449c1cdf107cc9ffc.jpg,calculus-606-_jpg.rf.b3d296d4e5b923b2e286bce187040576.jpg,827,duplicate,yes,original_run
calculus-741-_jpg.rf.3dab035ff489497255221c1bb2fd9b17.jpg,calculus-597-_jpg.rf.22b76b8b8594e76902ae6d4ff1c6ec0b.jpg,816,duplicate,yes,original_run
gingivitis-348-_jpg.rf.e425a918b41997dd49af8ad8411359c4.jpg,gingilagi-44-_jpg.rf.dfe1cf1df940ea9a1c1e29633ad116a7.jpg,815,duplicate,yes,original_run
gingi-632-copy_jpg.rf.7b4fc2f1ec53d1f4fc7512da6de646cf.jpg,gingi-632-copy_jpg.rf.e2916512c05ca592e87a6bbcb107ecd2.jpg,801,duplicate,yes,original_run
calculus-27-_jpg.rf.b7af3cac05abdd2c02ff5b2f1f321371.jpg,gingivitis-2107-_jpg.rf.d1aa837fb4e971a693bc0e6ea0a2a5b9.jpg,796,duplicate,yes,original_run
gingilagi-41-_jpg.rf.6bee8f4beb361222656520aa24a9b4bf.jpg,gingilagi-67-_jpg.rf.267abc22357daf7fc6967fa7458deda2.jpg,787,duplicate,yes,original_run
calculus-690-_jpg.rf.65fb41f1647028495d2bb475235c82ce.jpg,calculus-834-_jpg.rf.a4120a620e94d77a5ddde4af958d3ec0.jpg,759,duplicate,yes,original_run
gingi-283-copy_jpg.rf.7d57db9c97dd0ae9eee3733d09c05125.jpg,gingi-641-copy_jpg.rf.ecef9821330a54df9407c356efdad409.jpg,755,duplicate,yes,original_run
calculus-592-_jpg.rf.e1421f2becca84d60c3301a4d883d330.jpg,calculus-736-_jpg.rf.4801d0e8abab8ac1c41dd601d144481c.jpg,748,duplicate,yes,original_run
caries-2198-_jpeg.rf.c4e2eddf47d8949c81c43b2c2d204ee4.jpg,caries-2326-_jpeg.rf.cb295c318cbefdc6ea46070c312a4392.jpg,731,duplicate,yes,original_run
gingivitis-221-_jpg.rf.126284795d2c1c30f25733c7b714818e.jpg,gingivitis-2054-_jpg.rf.3aaa6794a082754db836a61970e52ad9.jpg,707,duplicate,yes,original_run
gingivitis-269-_jpg.rf.b73a5a6b500f271619139b9974e3e176.jpg,gingilagi-114-_jpg.rf.11add0324ad0f0fb6e4ddb80a448d1b0.jpg,682,duplicate,yes,original_run
gingivitis-2126-_jpg.rf.6efcf88cd751c5d3f76031980c5dedad.jpg,gingivitis-2120-_jpg.rf.0677a69d2929264ee675530a9136f545.jpg,641,duplicate,yes,original_run
calculus-843-_jpg.rf.435c6f1591b0bc3d1f59640dcfc79056.jpg,calculus-662-_jpg.rf.eaba384a8e543bfce4dc7e2ca8348b90.jpg,633,duplicate,yes,original_run
calculus-886-_jpg.rf.e29b64726f603ce69a1533ba1eaea0dc.jpg,calculus-22-_jpg.rf.1908d1f9cad05b7074e90aa1ec68ece2.jpg,602,duplicate,yes,original_run
gingivitis-1572-_jpg.rf.c04e5f90a4bda60757930cdacb5b2529.jpg,gingivitis-1312-_jpg.rf.e527fdddbee42d7a883fd191afff131e.jpg,597,duplicate,yes,original_run
calculus-416-_jpg.rf.0bb1de995892bcaa87e74280ea347ca1.jpg,calculus-560-_jpg.rf.21996a8f3347ca5a206f70b6a6e18ba0.jpg,546,duplicate,yes,original_run
gingi-337-copy_jpg.rf.5b44b1d583164db6a293dec473744ce1.jpg,gingi-337-copy_jpg.rf.f6728831c5cbcac903d0dd8cbb4061c8.jpg,527,duplicate,yes,original_run
hypodontia-1185-_JPG.rf.43bfe9610e4e8a9825437428233e1dc7.jpg,hypodontia-73-_JPG.rf.e417e743dd9a4b791be96658e790cba3.jpg,510,duplicate,yes,original_run
gingivitis-1449-_jpg.rf.2633604cce0b7251bcbe9b6d16ef679d.jpg,calculus-718-_jpg.rf.840b077306994ae18fb480c0f5f44dc1.jpg,508,duplicate,yes,original_run
gingivitis-1198-_jpg.rf.c7c0d74c7c9cb25cf038ff5dc4973678.jpg,gingi-244-copy_jpg.rf.20d24b10dbbb159fef6f74b241437d31.jpg,493,duplicate,yes,original_run
gingi-352-copy_jpg.rf.1eecf4db50462a9083e8ca58cca2e38d.jpg,gingi-161-copy_jpg.rf.28742aba667acea6291da2e883b4bc5a.jpg,489,duplicate,yes,original_run
gingivitis-1421-_jpg.rf.d0034d9d1ae7c85ab9f5a4d8b3f00da4.jpg,calcu-492-copy_jpg.rf.a786eff52bd589fe2a6fdc406c31f30d.jpg,477,duplicate,yes,original_run
gingivitis-1633-_jpg.rf.c42799e09ac1984acc19564b6a81e4dc.jpg,gingivitis-1893-_jpg.rf.b17d510d56754e0b465ba4954d88c8cb.jpg,475,duplicate,yes,original_run
